Employee_ID,Age,Gender,Department,Job_Role,Education,Marital_Status,Job_Level,Years_At_Company,Years_In_Industry,Monthly_Salary,Job_Satisfaction,Work_Life_Balance,Performance_Score,Training_Hours,Distance_From_Home_KM,Overtime,Attrition,Tenure_Band,Salary_Quartile,Performance_Category,Attrition_Flag
EMP10001,32,Female,Sales,Sales Executive,PhD,Married,2,4.2,3.0,68000.0,3.3,2.9,3.8,2,24.3,No,No,3-5 Years,Q2,Good,0
EMP10002,36,Female,Research & Development,Research Scientist,Bachelor's,Married,2,4.9,5.3,62800.0,3.3,4.1,1.9,3,13.0,No,No,3-5 Years,Q2,Low,0
EMP10003,20,Female,Human Resources,Recruiter,Bachelor's,Married,4,6.2,5.3,86800.0,3.5,1.5,3.0,4,7.3,No,No,5-10 Years,Q3,Average,0
EMP10004,36,Male,Sales,Sales Executive,High School,Single,2,2.2,4.6,52300.0,3.3,3.9,3.0,2,1.1,Yes,No,1-3 Years,Q1,Average,0
EMP10005,27,Male,IT,IT Support,Master's,Single,2,3.9,6.8,64800.0,4.3,4.3,3.8,2,10.0,No,No,3-5 Years,Q2,Good,0
EMP10006,29,Male,Human Resources,HR Manager,Bachelor's,Single,1,2.2,3.8,50700.0,3.0,4.2,1.7,4,9.1,No,No,1-3 Years,Q1,Low,0
EMP10007,39,Female,Sales,Sales Executive,Master's,Single,1,1.7,1.8,32900.0,3.1,4.0,3.2,3,8.2,Yes,No,1-3 Years,Q1,Good,0
EMP10008,41,Male,Human Resources,HR Manager,Bachelor's,Married,1,3.4,4.0,59300.0,5.0,3.5,3.4,2,9.8,No,No,3-5 Years,Q2,Good,0
EMP10009,40,Female,IT,Systems Analyst,Bachelor's,Married,2,6.4,11.3,64400.0,1.6,3.7,1.7,5,8.3,No,No,5-10 Years,Q2,Low,0
EMP10010,32,Male,Marketing,Marketing Analyst,Master's,Single,1,3.5,4.8,46100.0,3.5,2.3,2.6,3,7.3,No,No,3-5 Years,Q1,Average,0
EMP10011,32,Female,Research & Development,Laboratory Technician,PhD,Single,2,2.4,7.4,76400.0,2.5,3.7,5.0,5,5.0,Yes,No,1-3 Years,Q3,Excellent,0
EMP10012,39,Female,Research & Development,Research Scientist,Bachelor's,Single,3,6.8,11.3,87400.0,3.0,2.8,3.6,2,10.9,Yes,No,5-10 Years,Q3,Good,0
EMP10013,33,Female,Research & Development,Research Scientist,Bachelor's,Married,3,2.2,3.1,79100.0,3.0,2.7,3.9,2,7.3,No,No,1-3 Years,Q3,Good,0
EMP10014,25,Female,Marketing,Marketing Analyst,High School,Single,2,2.8,2.8,74000.0,4.8,2.4,3.9,1,3.3,No,No,1-3 Years,Q3,Good,0
EMP10015,44,Female,Sales,Sales Manager,Bachelor's,Single,4,7.5,10.4,100200.0,3.3,3.6,4.5,3,10.6,Yes,No,5-10 Years,Q4,Excellent,0
EMP10016,31,Female,Research & Development,Laboratory Technician,Bachelor's,Single,2,3.2,4.7,62600.0,3.0,2.4,3.1,3,3.5,No,No,3-5 Years,Q2,Good,0
EMP10017,22,Male,IT,IT Manager,Bachelor's,Single,4,12.1,11.9,100700.0,2.9,2.9,3.6,4,3.7,No,No,10+ Years,Q4,Good,0
EMP10018,22,Female,Research & Development,R&D Manager,Bachelor's,Married,2,6.3,6.4,59600.0,4.4,2.3,2.9,2,5.5,No,No,5-10 Years,Q2,Average,0
EMP10019,33,Male,Finance,Accountant,Bachelor's,Married,1,2.9,5.1,50100.0,3.1,3.2,3.1,1,8.6,No,No,1-3 Years,Q1,Good,0
EMP10020,44,Female,Human Resources,HR Specialist,Bachelor's,Divorced,1,6.2,5.2,47200.0,2.7,3.3,2.7,4,7.2,No,No,5-10 Years,Q1,Average,0
EMP10021,45,Male,Sales,Sales Representative,Master's,Single,3,3.0,3.4,78400.0,3.0,2.4,4.3,2,1.5,No,Yes,1-3 Years,Q3,Excellent,1
EMP10022,40,Female,Sales,Sales Representative,High School,Married,3,5.6,8.9,77600.0,3.1,3.9,3.2,1,3.8,Yes,No,5-10 Years,Q3,Good,0
EMP10023,25,Female,Research & Development,Laboratory Technician,Master's,Divorced,3,3.5,6.5,74700.0,3.9,3.7,3.4,3,5.5,No,No,3-5 Years,Q3,Good,0
EMP10024,36,Female,IT,Software Engineer,Bachelor's,Single,4,5.8,7.3,90200.0,3.3,3.6,2.9,3,6.8,No,No,5-10 Years,Q4,Average,0
EMP10025,45,Male,Research & Development,Laboratory Technician,Bachelor's,Single,1,5.8,10.3,59800.0,4.3,3.1,3.3,3,24.9,No,No,5-10 Years,Q2,Good,0
EMP10026,26,Male,Human Resources,HR Manager,Bachelor's,Married,4,8.5,11.4,111200.0,3.3,2.8,3.8,3,6.8,No,No,5-10 Years,Q4,Good,0
EMP10027,33,Male,Sales,Sales Executive,Bachelor's,Married,3,8.9,13.2,94900.0,2.3,3.4,3.4,3,7.1,Yes,No,5-10 Years,Q4,Good,0
EMP10028,31,Male,Sales,Sales Representative,Bachelor's,Married,3,2.2,4.1,88000.0,1.4,2.4,2.7,3,5.3,Yes,No,1-3 Years,Q4,Average,0
EMP10029,53,Female,IT,Software Engineer,Master's,Married,2,4.9,9.8,57400.0,3.0,3.9,3.5,1,8.1,No,No,3-5 Years,Q2,Good,0
EMP10030,45,Female,Finance,Finance Manager,Bachelor's,Married,5,14.8,16.4,140300.0,3.3,3.6,3.1,5,14.7,Yes,No,10+ Years,Q4,Good,0
EMP10031,40,Male,Marketing,Marketing Manager,Master's,Single,4,8.3,10.8,104300.0,1.9,2.0,2.5,3,4.7,No,Yes,5-10 Years,Q4,Average,1
EMP10032,50,Male,Finance,Finance Manager,PhD,Married,4,10.1,10.2,102600.0,3.4,4.5,2.2,2,12.3,Yes,No,10+ Years,Q4,Average,0
EMP10033,38,Male,IT,IT Support,Master's,Single,3,5.6,9.9,80300.0,3.6,3.9,4.0,2,8.5,No,No,5-10 Years,Q3,Good,0
EMP10034,37,Female,Research & Development,Research Scientist,Bachelor's,Single,3,2.1,1.2,71300.0,3.0,2.6,2.5,2,11.6,No,No,1-3 Years,Q3,Average,0
EMP10035,49,Male,Research & Development,Research Scientist,Bachelor's,Married,2,3.8,6.2,59900.0,2.7,3.2,3.7,3,3.8,No,No,3-5 Years,Q2,Good,0
EMP10036,34,Female,IT,IT Manager,Bachelor's,Single,5,15.5,15.0,136900.0,3.3,4.1,3.1,0,4.0,Yes,No,10+ Years,Q4,Good,0
EMP10037,24,Male,IT,Systems Analyst,Master's,Single,4,5.2,9.2,103100.0,2.6,3.1,4.3,2,14.0,No,No,5-10 Years,Q4,Excellent,0
EMP10038,45,Female,IT,Systems Analyst,Bachelor's,Single,4,8.7,11.5,98000.0,3.9,5.0,2.3,4,11.4,Yes,No,5-10 Years,Q4,Average,0
EMP10039,32,Female,Sales,Sales Executive,Master's,Married,4,5.6,8.0,95000.0,4.1,2.2,3.5,1,4.7,No,No,5-10 Years,Q4,Good,0
EMP10040,47,Male,Research & Development,R&D Manager,PhD,Single,1,1.0,3.9,50700.0,3.0,2.5,3.0,5,15.1,No,Yes,<1 Year,Q1,Average,1
EMP10041,20,Male,Human Resources,HR Manager,Bachelor's,Single,2,5.0,6.8,66900.0,4.9,3.8,2.9,2,10.3,No,No,3-5 Years,Q2,Average,0
EMP10042,44,Male,Research & Development,Laboratory Technician,Master's,Single,4,9.0,7.0,94000.0,1.5,3.1,3.9,4,8.6,No,No,5-10 Years,Q4,Good,0
